,True Label,Model Name,Mean_Score,rank
83,Inc,US-Flu\UNC_IDD-InfluPaint,0.6355197916666667,21.0
56,Inc,US-Flu\CEID-Walk,0.6328642857142857,22.0
72,Inc,US-Flu\LosAlamos_NAU-CModel_Flu,0.5518,23.0
64,Inc,US-Flu\JHU_IDD-CovidSP,0.5438541176470588,24.0
78,Inc,US-Flu\SigSci-CREG,0.4741719230769231,25.0
79,Inc,US-Flu\SigSci-TSENS,0.3943737704918033,26.0
77,Inc,US-Flu\SGroup-RandomForest,0.3258583596214511,27.0
80,Inc,US-Flu\UGA_flucast-OKeeffe,0.23637006369426752,28.0
85,Inc,US-Flu\VTSanghani-ExogModel,-0.1706763406940063,29.0
68,Inc,US-Flu\LUcompUncertLab-experthuman,-0.3639,30.0
86,Inc,US-Flu\VTSanghani-Transformer,-0.4193298387096774,31.0
95,Peak,US-Flu\JHU_IDD-CovidSP,0.8150302325581396,1.0
103,Peak,US-Flu\LosAlamos_NAU-CModel_Flu,0.73812,2.0
99,Peak,US-Flu\LUcompUncertLab-experthuman,0.7061,3.0
88,Peak,US-Flu\CEPH-Rtrend_fluH,0.703825,4.0
111,Peak,US-Flu\UGA_flucast-OKeeffe,0.6251749999999999,5.0
89,Peak,US-Flu\CMU-TimeSeries,0.56622,6.0
116,Peak,US-Flu\VTSanghani-ExogModel,0.5468142857142857,7.0
94,Peak,US-Flu\ISU_NiemiLab-Flu,0.5398980769230769,8.0
112,Peak,US-Flu\UMass-gbq,0.53209,9.0
92,Peak,US-Flu\Flusight-ensemble,0.5298722222222222,10.0
101,Peak,US-Flu\LUcompUncertLab-humanjudgment,0.527684,11.0
114,Peak,US-Flu\UNC_IDD-InfluPaint,0.5240735294117647,12.0
113,Peak,US-Flu\UMass-trends_ensemble,0.5030222222222223,13.0
110,Peak,US-Flu\SigSci-TSENS,0.4818255813953488,14.0
104,Peak,US-Flu\MIGHTE-Nsemble,0.48154629629629625,15.0
90,Peak,US-Flu\CU-ensemble,0.4457259259259259,16.0
115,Peak,US-Flu\UVAFluX-Ensemble,0.41920384615384615,17.0
87,Peak,US-Flu\CEID-Walk,0.38596756756756756,18.0
108,Peak,US-Flu\SGroup-RandomForest,0.32009074074074073,19.0
109,Peak,US-Flu\SigSci-CREG,0.3199391304347826,20.0
97,Peak,US-Flu\LUcompUncertLab-KalmanFilter,0.2622962962962963,21.0
106,Peak,US-Flu\NIH-Flu_ARIMA,0.24683076923076924,22.0
102,Peak,US-Flu\LUcompUncertLab-stacked_ili,0.2370857142857143,23.0
98,Peak,US-Flu\LUcompUncertLab-ensemble_rclp,0.2205102564102564,24.0
96,Peak,US-Flu\LUcompUncertLab-HWAR2,0.21714074074074075,25.0
100,Peak,US-Flu\LUcompUncertLab-hier_mech_model,0.20758846153846156,26.0
107,Peak,US-Flu\PSI-DICE,0.17358148148148148,27.0
91,Peak,US-Flu\Flusight-baseline,0.17268518518518516,28.0
105,Peak,US-Flu\MOBS-GLEAM_FLUH,0.17111568627450982,29.0
93,Peak,US-Flu\GT-FluFNP,0.16982857142857144,30.0
117,Peak,US-Flu\VTSanghani-Transformer,0.16446666666666662,31.0
